Abel;Masc
Abelardo;Masc
Abner;Masc
Abraão;Masc
Absalom;Masc
Absirto;Masc
Abstêmio;Masc
Abud;Masc
Abundâncio;Masc
Abúndio;Masc
Acabe;Masc
Acace;Masc
Acácio;Masc
Acaco;Masc
Academos;Masc
Acaiah;Masc
Acanto;Masc
Acarnane;Masc
Acates;Masc
Acaz;Masc
Accioli;Masc
Acelino;Masc
Acelo;Masc
Acemiro;Masc
Achille;Masc
Acilino;Masc
Acineto;Masc
Ácio;Masc
Acir;Masc
Acis;Masc
Ácmon;Masc
Acrísio;Masc
Acsa;Masc
Acteão;Masc
Acúrcio;Masc
Acúrio;Masc
Acúrsio;Masc
Adah;Masc
Adair;Masc
Adalard;Masc
Adalberon;Masc
Adalberto;Masc
Adalelmo;Masc
Adalfredo;Masc
Adaliah;Masc
Adalmiro;Masc
Adalrico;Masc
Adalton;Masc
Adalvino;Masc
Adam;Masc
Adamantino;Masc
Adamanto;Masc
Adamastor;Masc
Adamir;Masc
Adamo;Masc
Adams;Masc
Adão;Masc
Adari;Masc
Adauto;Masc
Adel;Masc
Adelbar;Masc
Adelelmo;Masc
Adelfo;Masc
Adelino;Masc
Adélio;Masc
Adelmar;Masc
Adelmarino;Masc
Adelmiro;Masc
Adelmo;Masc
Adelpho;Masc
Adeltrudes;Masc
Ademar;Masc
Ademir;Masc
Aderaldo;Masc
Aderbal;Masc
Aderico;Masc
Adib;Masc
Adiel;Masc
Adigênio;Masc
Adílio;Masc
Adílson;Masc
Adir;Masc
Adjuto;Masc
Adlai;Masc
Adler;Masc
Admeto;Masc
Admin;Masc
Ado;Masc
Adolar;Masc
Adolfo;Masc
Adolphus;Masc
Adom;Masc
Adonai;Masc
Adonias;Masc
Adoniram;Masc
Adoniran;Masc
Adônis;Masc
Adramalec;Masc
Adrian;Masc
Adriano;Masc
Adriel;Masc
Adrien;Masc
Adroaldo;Masc
Adrovaldo;Masc
Aécio;Masc
Aéneas;Masc
Afif;Masc
Afonso;Masc
Afrânio;Masc
Africano;Masc
Afrodísio;Masc
Agabo;Masc
Agamedes;Masc
Agamenon;Masc
Agapanto;Masc
Agapenor;Masc
Agápio;Masc
Agasias;Masc
Agatocles;Masc
Agelau;Masc
Agenor;Masc
Agesilau;Masc
Ageu;Masc
Agildo;Masc
Agílio;Masc
Agilulfo;Masc
Agis;Masc
Aglaio;Masc
Aglaupo;Masc
Agledes;Masc
Agliberto;Masc
Agnaldo;Masc
Agnato;Masc
Agnelo;Masc
Agostinho;Masc
Agostino;Masc
Agrécio;Masc
Agripino;Masc
Ágron;Masc
Aguilar;Masc
Aguimar;Masc
Aguinaldo;Masc
Aguirre;Masc
Agustin;Masc
Agustine;Masc
Ahmad;Masc
Aidil;Masc
Aidoneus;Masc
Aiko;Masc
Ailson;Masc
Aílton;Masc
Aimão;Masc
Aimberê;Masc
Aimon;Masc
Aimoré;Masc
Airão;Masc
Aires;Masc
Airton;Masc
Airy;Masc
Ajagunã;Masc
Ajax;Masc
Ajuricaba;Masc
Aka;Masc
Akamu;Masc
Akira;Masc
Al-Samir;Masc
Alabá;Masc
Aladim;Masc
Aladino;Masc
Alain;Masc
Alair;Masc
Alam;Masc
Alan;Masc
Alano;Masc
Alaor;Masc
Alapaki;Masc
Alarico;Masc
Alaúde;Masc
Albano;Masc
Albarino;Masc
Albatênio;Masc
Alberico;Masc
Albert;Masc
Albertino;Masc
Alberto;Masc
Albílio;Masc
Albino;Masc
Albion;Masc
Alboino;Masc
Albornoz;Masc
Albuim;Masc
